year	cumulative_intensity	type_of_conflict	incompatibility	region	lag_1_intensity	lag_2_intensity	lag_1_cumulative_intensity	conflict_age	gdp_growth	gdp_per_capita	inflation	internet_users_pct	population	trade_pct_gdp	unemployment	urban_population_pct	electoral_democracy	liberal_democracy	rule_of_law	liberal_component	participatory_component	freedom_expression_altinfo	freedom_association	civil_society_participation	regional_conflict_count	regional_high_intensity_count	regional_avg_intensity	regional_conflict_count_lag1	regional_conflict_growth	country_conflict_count	country_high_intensity_count	country_avg_intensity	country_conflict_count_lag1	country_high_intensity_lag1	country_conflict_growth	previous_conflict_years	previous_high_intensity_years	target_escalation_next_year	actual	predicted_probability	predicted_label	error_type
2011	1	3	1	2	1	1	1	59	5.518796214	34522.5216	3.488372093	68.87387799	7765800	68.90943785	7.139	91.73040247	0.752	0.675	0.909	0.914	0.58	0.851	0.809	0.791	3	0	1	5	-2	1	0	1	1	0	0	57	0	0	0	3.83E-07	0	True Negative
2018	1	3	1	2	1	1	1	60	4.003898622	42362.66528	0.8050603795	83.73315696	8882800	58.74375424	3.917	91.64561935	0.705	0.626	0.891	0.901	0.573	0.831	0.766	0.758	7	0	1	3	4	1	0	1	1	0	0	58	0	0	0	2.53E-08	0	True Negative
2021	1	3	1	2	1	1	1	61	9.388374034	52270.90402	1.479654747	90.29689758	9371400	54.9016842	4.812	91.53535175	0.722	0.639	0.906	0.898	0.601	0.853	0.784	0.806	7	0	1	5	2	1	0	1	1	0	0	59	0	0	0	5.35E-09	0	True Negative
2022	1	3	1	2	1	1	1	62	6.263263438	54949.62156	4.411627255	91.85079615	9557500	60.64485267	3.695	91.49798343	0.714	0.64	0.915	0.914	0.594	0.853	0.773	0.784	6	0	1	7	-1	1	0	1	1	0	0	60	0	1	1	3.22E-09	0	False Negative
2021	0	3	1	3				1	-12.01637248	1242.721344			53387102		4.34	30.23688125									15	0	1	9	6	4	0	1	1	0	3	0	0	0	0	0.4092952483	0	True Negative
2022	0	3	1	3	1		0	2	4.037493436	1158.050051			53756787		3.063	30.31109576									15	0	1	15	0	4	0	1	4	0	0	1	0	0	0	0.305457101	0	True Negative
2023	1	3	1	3	1	1	0	3	0.9584466251	1233.196662			54133798		2.977	30.38207181									15	0	1	15	0	5	0	1	4	0	1	2	0	0	0	0.375770063	0	True Negative
2024	1	3	1	3	1	1	1	4	-0.9720464136	1359.050016			54500091		2.887	30.44990841									13	0	1	15	-2	4	0	1	5	0	-1	3	0	0	0	0.4310329338	0	True Negative
2011	1	4	2	2	1	2	1	16	7.5464712	5775.542291	5.801455371	5	32161424	72.17132822	8.193	69.12522339	0.413	0.251	0.369	0.505	0.56	0.616	0.697	0.657	3	0	1	5	-2	1	0	1	1	0	0	9	0	0	0	0.7402491655	1	False Positive
2012	1	3	2	2	1	1	1	17	13.93643017	6477.596185	6.089096416	7.099999905	33654842	73.60868459	7.965	69.22222137	0.41	0.25	0.369	0.505	0.564	0.602	0.697	0.677	3	0	1	3	0	1	0	1	1	0	0	10	0	1	1	0.4374515421	0	False Negative
2018	1	4	2	2	2	2	1	23	2.633850991	5646.689321	0.3674414889	33.92810059	40265624	65.80179177	13.458	69.87651489	0.398	0.238	0.384	0.489	0.566	0.62	0.704	0.734	7	0	1	3	4	1	0	1	1	0	0	11	0	0	0	0.04337794548	0	True Negative
2019	1	4	2	2	1	2	1	24	5.513790575	5671.856863	-0.19896538	44.32634655	41192171	68.98993842	14.096	69.86833954	0.393	0.226	0.336	0.468	0.579	0.601	0.667	0.757	6	0	1	7	-1	1	0	1	1	0	0	12	0	0	0	0.002821088344	0	True Negative
2020	1	4	2	2	1	1	1	25	-12.03679309	4295.189451	0.5741626794	53.67779922	42116605	57.7423164	15.766	69.86831665	0.376	0.212	0.32	0.446	0.542	0.532	0.658	0.689	5	0	1	6	-1	1	0	1	1	0	0	13	0	0	0	0.0003426169619	0	True Negative
2021	1	4	2	2	1	1	1	26	1.50218071	4868.494311	6.041864891	65.00219727	43071211	61.50326831	16.173	69.86827087	0.374	0.218	0.393	0.465	0.507	0.539	0.643	0.699	7	0	1	5	2	1	0	1	1	0	0	14	0	0	0	3.36E-05	0	True Negative
2022	1	4	2	2	1	1	1	27	7.95904805	6520.731546	4.994765964	78.71560926	44070551	68.75879409	15.41	69.86828613	0.385	0.204	0.406	0.41	0.496	0.548	0.651	0.676	6	0	1	7	-1	1	0	1	1	0	0	15	0	0	0	1.94E-06	0	True Negative
2023	1	4	2	2	1	1	1	28	0.5177055251	5965.318351	4.358353511	81.80889893	45074049	69.4613208	15.239	69.8682785	0.371	0.208	0.413	0.439	0.51	0.527	0.607	0.743	8	0	1	6	2	1	0	1	1	0	0	16	0	0	0	1.21E-06	0	True Negative
2024	1	4	2	2	1	1	1	29	-1.545251983	6073.610323	-12.29698376	81.47450256	46042015	70.70874347	15.293	69.88614941	0.361	0.21	0.425	0.457	0.482	0.533	0.586	0.697	7	0	1	8	-1	1	0	1	1	0	0	17	0	0	0	1.18E-06	0	True Negative
2013	0	4	1	4	1		0	2									0.319	0.124	0.248	0.248	0.501	0.677	0.501	0.601	12	0	1	8	4	1	0	1	1	0	0	1	0	0	0	0.6372137424	1	False Positive
2011	1	3	2	4	1	1	1	11									0.347	0.15	0.246	0.297	0.523	0.678	0.526	0.633	8	0	1	6	2	1	0	1	2	0	-1	4	0	0	0	0.7643786198	1	False Positive
2012	1	4	2	4	1	1	1	12									0.321	0.141	0.246	0.297	0.52	0.679	0.494	0.633	8	0	1	8	0	1	0	1	1	0	0	5	0	1	1	0.776974035	1	True Positive
2016	1	3	2	4	2	1	1	14									0.305	0.119	0.249	0.245	0.516	0.684	0.434	0.655	10	0	1	11	-1	1	0	1	1	0	0	6	0	1	1	0.8169120487	1	True Positive
2018	1	4	2	4	2	1	1	16									0.306	0.117	0.279	0.239	0.512	0.656	0.457	0.653	15	0	1	13	2	2	0	1	1	0	1	7	0	0	0	0.8113672561	1	False Positive
2019	1	4	2	4	1	2	1	17									0.344	0.141	0.357	0.278	0.489	0.676	0.567	0.671	19	0	1	15	4	2	0	1	2	0	0	8	0	0	0	0.8044340759	1	False Positive
2020	1	4	2	4	1	1	1	18									0.347	0.152	0.339	0.304	0.5	0.702	0.562	0.614	19	0	1	19	0	2	0	1	2	0	0	9	0	0	0	0.6347233962	1	False Positive
2021	1	4	2	4	1	1	1	19									0.342	0.14	0.302	0.27	0.463	0.704	0.534	0.509	18	0	1	19	-1	2	0	1	2	0	0	10	0	0	0	0.6430921325	1	False Positive
2022	1	4	2	4	1	1	1	20									0.336	0.15	0.328	0.311	0.448	0.669	0.553	0.469	19	0	1	18	1	2	0	1	2	0	0	11	0	0	0	0.6512619536	1	False Positive
2023	1	4	2	4	1	1	1	21									0.333	0.123	0.306	0.232	0.483	0.686	0.508	0.472	20	0	1	19	1	2	0	1	2	0	0	12	0	0	0	0.654478495	1	False Positive
2024	1	4	2	4	1	1	1	22									0.308	0.123	0.239	0.254	0.492	0.578	0.506	0.503	20	0	1	20	0	2	0	1	2	0	0	13	0	1	1	0.647610256	1	True Positive
2014	1	3	2	4	1	1	1	14	4.244908031	250.5444922	4.405352342	1.042392126	10799785		1.572	13.78397817	0.27	0.101	0.205	0.223	0.506	0.529	0.372	0.641	9	0	1	12	-3	1	0	1	1	0	0	9	0	0	0	0.5819920943	0	True Negative
2019	1	4	2	4	1	1	1	15	4.459342024	234.3106159	-0.6867721708	6.072199821	12255336		1.043	18.78617815	0.159	0.055	0.137	0.148	0.471	0.098	0.148	0.43	19	0	1	15	4	1	0	1	1	0	0	10	0	0	0	0.3382727262	0	True Negative
2020	1	4	2	4	1	1	1	16	0.3064438095	255.8324539	7.321106434	6.430099964	12617036		1.03	19.93099843	0.168	0.049	0.158	0.122	0.231	0.118	0.197	0.362	19	0	1	19	0	1	0	1	1	0	0	11	0	0	0	0.2259591597	0	True Negative
2021	1	4	2	4	1	1	1	17	3.237074798	264.9803793	8.404538451	6.777999878	12965481		1.118	21.11088619	0.181	0.067	0.189	0.178	0.195	0.147	0.255	0.278	18	0	1	19	-1	1	0	1	1	0	0	12	0	0	0	0.2104215919	0	True Negative
2022	1	4	2	4	1	1	1	18	2.317701222	302.9925053	18.80087867	7.144800186	13321097		0.909	22.3202446	0.189	0.077	0.278	0.206	0.172	0.222	0.236	0.214	19	0	1	18	1	1	0	1	1	0	0	13	0	0	0	0.1946556459	0	True Negative
2023	1	4	2	4	1	1	1	19	3.254768974	250.6272531	26.94148358	7.172299862	13689450		0.911	23.55347684	0.186	0.056	0.241	0.135	0.164	0.217	0.22	0.204	20	0	1	19	1	1	0	1	1	0	0	14	0	0	0	0.1878571525	0	True Negative
2020	1	3	2	4	1	1	1	32	-0.3936465831	866.9478149	4.464144372	8.343099594	17224679	40.64281706	1.695	24.73419218	0.268	0.088	0.232	0.18	0.304	0.526	0.423	0.551	19	0	1	19	0	2	0	1	1	0	1	25	0	0	0	0.1513861167	0	True Negative
2011	1	3	2	5	1	1	1	48	6.947891982	7400.99407	3.415033448	40.35091575	45259614	39.47042355	10.288	76.83900361	0.66	0.539	0.753	0.808	0.641	0.836	0.886	0.792	2	0	1	2	0	1	0	1	1	0	0	36	0	0	0	0.0005850130575	0	True Negative
2012	1	3	2	5	1	1	1	49	3.912635767	8108.598382	3.169301888	48.98	45715810	38.83515102	9.959	76.9422112	0.661	0.54	0.762	0.805	0.635	0.836	0.891	0.792	2	0	1	2	0	1	0	1	1	0	0	37	0	0	0	0.0001159375426	0	True Negative
2013	1	3	2	5	1	1	1	50	5.13399352	8279.102556	2.016992243	51.7	46151584	37.9866488	9.246	77.03159882	0.669	0.537	0.763	0.792	0.633	0.823	0.917	0.807	2	0	1	2	0	1	0	1	1	0	0	38	0	0	0	6.47E-05	0	True Negative
2014	1	3	2	5	1	1	1	51	4.499030001	8187.208249	2.898837878	52.56813654	46565429	37.48746564	8.799	77.10584494	0.677	0.545	0.758	0.794	0.623	0.818	0.916	0.798	2	0	1	2	0	1	0	1	1	0	0	39	0	0	0	5.19E-05	0	True Negative
2015	1	3	2	5	1	1	1	52	2.955901375	6248.514905	4.989831158	55.90497251	46969940	38.36076412	8.572	77.16362805	0.681	0.551	0.759	0.792	0.63	0.83	0.916	0.839	2	0	1	2	0	1	0	1	1	0	0	40	0	0	0	2.85E-05	0	True Negative
2016	1	3	2	5	1	1	1	53	2.087382502	5959.842504	7.513460246	58.13649357	47437512	36.20265298	8.922	77.20362664	0.682	0.547	0.756	0.791	0.691	0.832	0.914	0.858	2	0	1	2	0	1	0	1	1	0	0	41	0	0	0	2.09E-05	0	True Negative
2017	1	3	2	5	1	1	1	54	1.359360868	6479.532313	4.314313257	62.25988032	48131078	35.28291494	9.086	77.22451917	0.68	0.548	0.764	0.798	0.676	0.836	0.907	0.828	1	0	1	2	-1	1	0	1	1	0	0	42	0	0	0	9.63E-06	0	True Negative
2018	1	3	2	5	1	1	1	55	2.564324283	6816.968183	3.240569329	64.12637682	49024465	36.5347528	9.36	77.28048166	0.666	0.533	0.743	0.787	0.674	0.777	0.883	0.824	1	0	1	1	0	1	0	1	1	0	0	43	0	0	0	7.06E-06	0	True Negative
2019	1	3	2	5	1	1	1	56	3.186855392	6472.545449	3.523019327	65.00690072	49907985	37.55853398	10.28	77.45955285	0.651	0.511	0.688	0.763	0.668	0.733	0.876	0.801	1	0	1	1	0	1	0	1	1	0	0	44	0	0	0	6.80E-06	0	True Negative
